Team_Alias,Player_Name,Minutes,PPG,APG,DefRBD,OffRBD,SPG,BPG,Paint_PPG,att_3PT_pg,made_3PT_pg,ATO,Position
IND,Jarace Walker,340,3.6,1.2,1.55,0.36,0.45,0.33,0.97,1.67,0.67,2.35,F
IND,Buddy Hield,1336,12,2.7,2.56,0.65,0.83,0.6,3.19,6.87,2.63,2.24,G
IND,Oscar Tshiebwe,42,3.3,0.3,1,1,0.25,0.13,2.25,0,0,0,F
IND,Quenton Jackson,11,0.7,0.7,1.33,0,0.33,0,0,0,0,0,G
IND,Aaron Nesmith,1995,12.2,1.5,2.94,0.88,0.9,0.68,4.42,4.64,1.94,1.69,G-F
IND,Jordan Nwora,183,5.2,1,1.39,0.44,0.33,0.06,2.56,2,0.61,1.5,F
IND,Daniel Theis,8,2,0,0,0,0,0,2,1,0,0,F-C
IND,T.J. McConnell,1291,10.2,5.5,2.18,0.51,1.01,0.11,7.07,0.62,0.25,3.61,G
IND,Obi Toppin,1730,10.3,1.6,2.87,1.04,0.57,0.52,5.51,3.09,1.24,1.86,F
IND,Isaiah Wong,4,2,0,0,0,0,0,0,1,0,0,G
IND,Bruce Brown,981,12.1,3,3.91,0.76,1.06,0.24,6.18,3.06,1,2.44,G-F
TOR,Justise Winslow,0,0,0,0,0,0,0,0,0,0,0,F-G
TOR,Jontay Porter,360,4.4,2.3,2.15,1,0.77,0.77,1.46,2.31,0.77,2.86,C-F
TOR,Markquis Nowell,4,2,2,0,2,1,0,0,0,0,0,G
TOR,Malik Williams,107,2.7,0.3,3.29,2.14,0.43,0.57,2.29,0.71,0.14,0.67,C
TOR,Scottie Barnes,2094,19.9,6.1,5.88,2.35,1.25,1.47,10.13,4.93,1.68,2.2,G-F
TOR,Ron Harper Jr.,4,0,1,0,0,0,0,0,0,0,0,G-F
TOR,Malachi Flynn,474,5.1,2.4,1.68,0.42,0.58,0.19,1.55,2.58,0.9,2.21,G
TOR,Jalen McDaniels,538,3.4,0.7,1.22,0.36,0.38,0.12,2.08,1.42,0.24,1.23,F
TOR,Thaddeus Young,350,5,2.2,2,1.26,0.78,0.13,4.43,0.26,0.04,4.55,F
TOR,Precious Achiuwa,437,7.7,1.8,3.44,2,0.64,0.48,4.96,1.88,0.52,1.52,F
TOR,Pascal Siakam,1354,22.2,4.9,4.92,1.38,0.82,0.26,12.77,3.72,1.18,2.29,F
TOR,RJ Barrett,1072,21.8,4.1,5.31,1.06,0.59,0.41,13.94,3.75,1.47,1.65,F-G
TOR,D.J. Carton,36,2.8,0.8,0.5,0.5,0.25,0,1,1,0.25,3,G
TOR,Gradey Dick,1268,8.5,1.1,1.75,0.45,0.57,0.03,2.57,4.02,1.47,1.36,G-F
TOR,Gary Trent Jr.,1994,13.7,1.7,2.3,0.35,1.08,0.14,3.52,6.38,2.51,2.53,G
TOR,Javon Freeman-Liberty,403,7,1.8,2.45,0.73,0.45,0.18,3.91,1.91,0.45,1.6,G
TOR,Kira Lewis Jr.,2,0,0,0,0,0,0,0,0,0,0,G
TOR,Otto Porter Jr.,174,2.6,0.5,1.53,0.4,0.33,0.33,0.53,1.53,0.53,4,F
TOR,Kelly Olynyk,740,12.7,4.6,4,1.61,1.32,0.64,6.93,2.54,0.86,1.8,F-C
TOR,OG Anunoby,900,15.1,2.7,3.04,0.89,1.04,0.48,6,6.04,2.26,1.67,G-F
TOR,Mouhamadou Gueye,120,2.4,0.5,1,1.09,0.27,1.64,2,0.27,0,0.42,F
TOR,Dennis Schroder,1559,13.7,6.1,2.31,0.43,0.9,0.16,4.39,4.31,1.51,3.77,G
TOR,Ochai Agbaji,638,6.7,1.3,1.89,1.44,0.74,0.56,4,2.56,0.56,1.2,G
TOR,Kobi Simmons,67,5,3,1.5,0.25,1.5,0.5,3,2,0.5,12,G
TOR,Jordan Nwora,529,7.9,1.3,2.82,0.59,0.59,0.35,3.65,2.79,0.97,1.07,F
TOR,Immanuel Quickley,1265,18.6,6.8,4.47,0.32,0.89,0.18,5.58,7.13,2.82,3.67,G
TOR,Jahmi'us Ramsey,121,6.7,1.1,2.57,0.57,1,0,2.86,3.14,0.86,1.14,G
TOR,Jakob Poeltl,1319,11.1,2.5,5.66,2.92,0.7,1.52,9.6,0,0,1.65,C
TOR,Christian Koloko,0,0,0,0,0,0,0,0,0,0,0,C
TOR,Garrett Temple,289,3.3,1,1,0.67,0.44,0.11,1.26,1.48,0.44,2,G-F
TOR,Chris Boucher,705,6.4,0.5,2.9,1.24,0.28,0.48,3.08,1.88,0.62,0.82,F
TOR,Bruce Brown,885,9.6,2.7,3,0.82,0.71,0.26,5.76,1.85,0.59,2.04,G-F
ORL,Anthony Black,1164,4.6,1.3,1.54,0.48,0.51,0.3,2.03,1.36,0.54,1.63,G
ORL,Goga Bitadze,957,5,1.3,2.85,1.76,0.52,1.16,4,0.23,0.03,1.8,C-F
ORL,Markelle Fultz,910,7.8,2.8,1.91,1.3,0.98,0.35,6.05,0.42,0.09,2.4,G
ORL,Paolo Banchero,2799,22.6,5.4,5.9,1.03,0.89,0.59,9.68,4.39,1.49,1.74,F
ORL,Franz Wagner,2337,19.7,3.7,4.29,1,1.06,0.39,11.61,4.64,1.31,1.96,F
ORL,Joe Ingles,1169,4.4,3,1.82,0.26,0.63,0.07,0.82,2.37,1.03,3.03,F-G
ORL,Gary Harris,1297,6.9,1.6,1.24,0.44,0.91,0.26,1.78,3.8,1.41,2.81,G
ORL,Jalen Suggs,2025,12.6,2.7,2.41,0.64,1.41,0.63,4.24,5.13,2.04,1.55,G
ORL,Wendell Carter Jr.,1406,11,1.7,4.89,2.04,0.64,0.51,5.49,3.11,1.16,1.4,C-F
ORL,Jonathan Isaac,914,6.8,0.5,3.22,1.26,0.74,1.21,3.17,1.93,0.72,1.11,F
ORL,Trevelin Queen,165,2.9,1.3,1.21,0.21,0.5,0.36,1.43,1.21,0.21,2.57,G
ORL,Caleb Houstan,815,4.3,0.5,0.95,0.47,0.25,0.07,0.24,3.27,1.22,1.81,G
ORL,Kevon Harris,6,2,0.5,1,0,0,0,1,0,0,1,G
ORL,Jett Howard,67,1.6,0.3,0.33,0.06,0.11,0.11,0.33,1.39,0.39,2,F
ORL,Cole Anthony,1817,11.6,2.9,3.05,0.79,0.79,0.46,4.54,3.4,1.15,1.87,G
ORL,Admiral Schofield,84,1.1,0.3,0.61,0.13,0.04,0,0.26,0.7,0.26,1.4,F
ORL,Moritz Wagner,1415,10.9,1.2,2.88,1.46,0.49,0.26,7.3,1.44,0.48,0.99,F-C
ORL,Chuma Okeke,432,2.3,0.4,1.32,0.38,0.19,0.15,0.68,1.74,0.49,1.25,F
SAS,Blake Wesley,876,4.4,2.7,1.25,0.3,0.48,0.15,2.89,0.9,0.2,3.02,G
SAS,Jamaree Bouyea,38,3.7,1,2.67,0.33,0.33,0,2.67,0.33,0.33,3,G
SAS,Keldon Johnson,2038,15.7,2.8,4.09,1.38,0.74,0.29,7.13,5.32,1.84,1.95,G-F
SAS,Tre Jones,2138,10,6.2,3,0.75,1.01,0.12,5.87,2.48,0.83,4.12,G
SAS,David Duke Jr.,51,6.5,1.3,2,0.5,0.5,0,3,1.5,0.75,1.67,G
SAS,Dominick Barlow,420,4.4,1.1,2.06,1.36,0.36,0.42,2.67,0.27,0.09,4,F
SAS,Marcus Morris Sr.,0,0,0,0,0,0,0,0,0,0,0,F
SAS,Jeremy Sochan,2193,11.6,3.4,4.58,1.85,0.84,0.54,6.92,3.07,0.95,1.78,F
SAS,Devonte' Graham,313,5,2.1,1.35,0.22,0.39,0.09,0.87,3.61,1.09,2.88,G
SAS,Doug McDermott,700,6,1.2,0.87,0.17,0.24,0.04,0.65,3.76,1.65,2.38,F
SAS,RaiQuan Gray,39,7.7,2,1.67,0.67,0.33,0.33,4.67,2.33,1,6,F
SAS,Sidy Cissoko,141,3.8,0.8,1.17,0.67,0.58,0.25,2.5,1,0.08,3.33,F
SAS,Victor Wembanyama,2106,21.4,3.9,8.37,2.27,1.24,3.58,10.11,5.55,1.8,1.05,F-C
SAS,Sir'Jabari Rice,0,0,0,0,0,0,0,0,0,0,0,G
SAS,Zach Collins,1526,11.2,2.8,3.65,1.71,0.49,0.75,6.41,2.62,0.84,1.47,F-C
SAS,Charles Bediako,0,0,0,0,0,0,0,0,0,0,0,C
SAS,Mamadi Diakite,16,4,0.7,0.67,0.33,0,0.33,2.67,0,0,0,F
SAS,Sandro Mamukelashvili,451,4.1,1.1,2.22,0.98,0.15,0.26,2.17,1.39,0.41,2.58,F
SAS,Cedi Osman,1269,6.8,1.7,2.15,0.35,0.5,0.15,2.56,3.07,1.19,2.53,F
SAS,Charles Bassey,205,3.3,1.1,2.79,1.21,0.42,0.89,3.05,0.05,0,1.4,C
SAS,Malaki Branham,1594,9.2,2.1,1.6,0.37,0.36,0.11,3.95,3.57,1.24,1.71,G
SAS,Julian Champagnie,1468,6.8,1.4,2.22,0.57,0.65,0.57,1.65,3.74,1.36,1.81,F
SAS,Devin Vassell,2248,19.5,4.1,3.44,0.4,1.07,0.34,6.65,6.56,2.44,2.56,G
SAC,Filip Petrusev,7,1.5,0,0,0,0,0,1,0,0,0,C
SAC,Chris Duarte,719,3.9,0.7,1.36,0.44,0.47,0.14,1.08,2.15,0.75,1.69,G
SAC,Domantas Sabonis,2928,19.4,8.2,10.07,3.59,0.9,0.59,13.85,1.06,0.4,2.47,C
SAC,Jordan Ford,22,2,0.3,0.33,0,0,0,0.33,0.5,0.33,2,G
SAC,Alex Len,444,2.5,1,1.71,0.96,0.23,0.69,2,0.06,0,1.85,C
SAC,Malik Monk,1872,15.4,5.1,2.56,0.39,0.63,0.54,5.58,5.88,2.06,2.47,G
SAC,JaVale McGee,339,4,0.4,1.83,0.91,0.3,0.43,3.35,0.15,0.02,0.5,C
SAC,Davion Mitchell,1101,5.3,1.9,1.06,0.26,0.24,0.04,2,2.19,0.79,3.12,G
SAC,Trey Lyles,1158,7.2,1.2,3.38,1.05,0.29,0.33,1.97,3.78,1.45,1.89,F
SAC,Keon Ellis,978,5.4,1.5,1.61,0.56,0.89,0.51,1.05,2.95,1.23,2.3,G
SAC,Mason Jones,28,1.4,1,0.8,0.2,0.2,0,0,1.4,0.4,2.5,G
SAC,Sasha Vezenkov,511,5.4,0.5,1.57,0.71,0.48,0.17,1.81,2.86,1.07,1.58,F
SAC,Keegan Murray,2588,15.2,1.7,4.08,1.38,1.03,0.77,5.35,6.64,2.38,2.02,F
SAC,Kevin Huerter,1562,10.2,2.6,2.91,0.59,0.7,0.36,3.56,5.33,1.92,3.13,G-F
SAC,Colby Jones,192,2.1,0.7,0.77,0.57,0.23,0.17,1.53,0.73,0.07,2,G-F
SAC,Kessler Edwards,275,1.7,0.3,0.61,0.17,0.19,0.07,0.44,0.96,0.37,3.75,F
SAC,Harrison Barnes,2381,12.2,1.2,2.22,0.82,0.66,0.15,4.24,4.7,1.82,1.71,F
SAC,De'Aaron Fox,2659,26.6,5.6,3.69,0.91,2.03,0.42,11.43,7.84,2.89,2.15,G
SAC,Juan Toscano-Anderson,53,0.6,0.4,0.91,0.36,0.09,0.09,0.36,0.36,0.09,2,F
SAC,Jalen Slawson,37,0.7,0.2,0.5,0.08,0.08,0.08,0.67,0.17,0,1,F
PHX,Jordan Goodwin,558,5,2,1.93,1,0.58,0.23,2.2,2,0.58,2.69,G
PHX,Damion Lee,0,0,0,0,0,0,0,0,0,0,0,G-F
PHX,Drew Eubanks,1169,5.1,0.8,2.92,1.37,0.36,0.81,3.95,0.04,0.04,1.03,F-C
PHX,Josh Okogie,960,4.6,1.1,1.33,1.23,0.8,0.4,1.87,1.57,0.48,1.78,G
PHX,Saben Lee,185,3,1.3,0.92,0.38,0.29,0.13,1.5,0.67,0.08,3.75,G
PHX,Thaddeus Young,89,2.3,0.7,1.1,1.7,0.5,0.2,2.2,0.1,0,1.75,F
PHX,Devin Booker,2447,27.1,6.9,3.71,0.82,0.9,0.41,9,6.15,2.24,2.65,G
PHX,Royce O'Neale,752,8.1,2.7,4.47,0.73,0.9,0.5,1.8,5.23,1.97,3.73,F
PHX,David Roddy,63,1.3,0.2,0.53,0.12,0.12,0,1.06,0.47,0.06,1.33,F
PHX,Kevin Durant,2791,27.1,5,6.05,0.55,0.92,1.21,8.85,5.43,2.24,1.55,F
PHX,Udoka Azubuike,113,2.2,0.2,1.31,0.69,0.06,0.38,2,0,0,0.75,C-F
PHX,Bol Bol,469,5.2,0.4,2.44,0.74,0.23,0.58,2.79,1.21,0.51,0.89,C-F
PHX,Chimezie Metu,448,5,0.5,2.32,0.65,0.51,0.24,2.59,1.38,0.41,0.7,F-C
PHX,Nassir Little,458,3.4,0.5,1.36,0.31,0.22,0.22,1.42,1.56,0.47,1.5,F-G
PHX,Ish Wainright,16,0.8,0.3,0.5,0.75,0.5,0,0,1,0.25,1,F
PHX,Theo Maledon,13,1.3,0,0.25,0,0,0,0.5,0,0,0,G
PHX,Jusuf Nurkic,2078,10.9,4,8.07,2.95,1.07,1.05,7.71,1.18,0.29,1.72,C
PHX,Keita Bates-Diop,597,4.5,0.9,1.82,0.77,0.56,0.51,2.21,1.64,0.51,2.62,F
PHX,Isaiah Thomas,19,1.3,0.5,0,0,0,0,0.33,0.67,0.33,0,G
PHX,Yuta Watanabe,382,3.6,0.3,1.17,0.38,0.31,0.24,0.69,2.59,0.83,0.63,G-F
PHX,Eric Gordon,1893,11,2,1.56,0.24,0.97,0.44,3.56,5.84,2.21,1.9,G
PHX,Bradley Beal,1767,18.2,5,3.36,1.02,0.98,0.51,8.08,4.43,1.91,2.02,G
PHX,Grayson Allen,2513,13.5,3,3.29,0.64,0.92,0.6,3.55,5.93,2.73,2.39,G
OKC,Aleksej Pokusevski,60,1.2,0.5,0.8,0.2,0.1,0.1,0.4,1.1,0.2,1.67,F
OKC,Keyontae Johnson,66,1.2,0.4,0.67,0.44,0.11,0,0.67,0.33,0.11,1,F
OKC,Isaiah Joe,1445,8.2,1.3,1.9,0.41,0.59,0.28,1.15,4.53,1.88,2.11,G
OKC,Luguentz Dort,2246,10.9,1.4,2.66,0.94,0.91,0.59,2.94,5.01,1.97,1.53,G
OKC,Jaylin Williams,897,4,1.6,2.87,0.52,0.41,0.39,1.13,2.09,0.77,3.24,F
OKC,Tre Mann,119,3.8,1.5,1.54,0.31,0.23,0,1.38,1.46,0.62,2.22,G
OKC,Jalen Williams,2223,19.1,4.5,3.45,0.52,1.13,0.63,9.92,3.39,1.45,2.62,G-F
OKC,Josh Giddey,2011,12.3,4.8,5.04,1.39,0.64,0.55,7.2,3.04,1.03,2.3,G
OKC,Adam Flagler,14,1.5,2,0,0,0,0,0,3,0.5,0,G
OKC,Vasilije Micic,361,3.3,2.5,0.77,0.03,0.3,0.1,1.4,1.5,0.37,2.62,G
OKC,Mike Muscala,91,1.1,0.3,0.88,0.44,0.06,0.06,0.88,0.69,0.06,1,F-C
OKC,Lindy Waters III,280,3.6,0.6,0.87,0.18,0.13,0.18,0.42,2.24,0.97,3.43,F
OKC,Bismack Biyombo,73,1.8,0.2,1.3,0.5,0.1,0.3,1.4,0,0,0.5,C
OKC,Kenrich Williams,1029,4.7,1.3,2.14,0.88,0.55,0.13,2.03,2.04,0.81,2.91,G-F
OKC,Ousmane Dieng,365,4,1.1,1.24,0.3,0.24,0.15,1.45,2.12,0.64,1.95,F
OKC,Gordon Hayward,447,5.3,1.6,1.96,0.5,0.46,0.04,1.92,1.12,0.58,2.8,F
OKC,Cason Wallace,1692,6.8,1.5,1.65,0.63,0.93,0.45,2.46,2.85,1.2,2.67,G
OKC,Davis Bertans,91,2.9,0.6,0.53,0.13,0.2,0.2,0,1.6,0.67,9,F
OKC,Aaron Wiggins,1228,6.9,1.1,1.62,0.77,0.72,0.24,3.77,1.62,0.79,1.54,G
OKC,Shai Gilgeous-Alexander,2553,30.1,6.2,4.67,0.87,2,0.89,14.21,3.59,1.27,2.87,G
OKC,Chet Holmgren,2413,16.5,2.4,6.33,1.57,0.65,2.32,8.41,4.26,1.57,1.53,C-F
OKC,Olivier Sarr,98,2.3,0.1,1.73,0.67,0,0.47,1.2,0.4,0.13,0.67,C
POR,Rayan Rupert,633,4,1.6,1.74,0.62,0.31,0.08,1.28,2,0.72,2,G
POR,Toumani Camara,1739,7.5,1.2,2.91,1.99,0.94,0.47,3.89,2.46,0.83,1.04,F
POR,Jamaree Bouyea,57,1.7,1.3,1.33,0.33,0,0,1.33,1.33,0,1,G
POR,Moses Brown,200,3.4,0.3,2.23,1.68,0.23,0.32,3,0,0,0.64,C
POR,Jerami Grant,1830,21,2.8,2.85,0.69,0.83,0.63,7.59,5.11,2.06,1.31,F
POR,Anfernee Simons,1582,22.6,5.5,3.15,0.48,0.5,0.11,7,8.8,3.39,2.02,G
POR,Dalano Banton,876,16.7,3.6,3.8,0.97,0.93,0.57,8,6.1,1.9,1.61,G
POR,Taze Moore,40,4.5,1.3,1,1,0.5,0,3.5,1.75,0.25,1.67,G
POR,Deandre Ayton,1784,16.7,1.6,7.87,3.2,1.02,0.76,11.49,0.18,0.02,0.91,C
POR,Ish Wainright,46,2.9,0,1.29,0,0.29,0.14,0,2.29,0.86,0,F
POR,Ashton Hagans,316,4.2,2.8,1.63,0.74,0.58,0.47,2.21,1.32,0.42,1.8,G
POR,Matisse Thybulle,1487,5.4,1.4,1.63,0.46,1.74,0.75,1.35,3.55,1.23,2.25,G-F
POR,Skylar Mays,356,6.3,3.6,1.33,0.43,0.67,0.14,2.95,2.33,0.67,4.17,G
POR,Scoot Henderson,1765,14,5.4,2.27,0.85,0.77,0.21,5.45,4.32,1.4,1.58,G
POR,Kris Murray,1348,6.1,1.3,2.24,1.37,0.85,0.34,3.1,2.95,0.79,1.45,F
POR,Ibou Badji,226,1.5,0.6,1.41,0.91,0.14,0.91,1,0,0,0.87,C
POR,Robert Williams III,119,6.8,0.8,4.5,1.83,1.17,1.17,4.33,0,0,0.71,C-F
POR,Justin Minaya,381,1.8,0.6,0.76,0.88,0.26,0.29,0.59,1.44,0.35,2.33,F
POR,Duop Reath,1214,9.1,1,2.31,1.37,0.49,0.56,4.06,3.6,1.29,1.29,C
POR,Shaedon Sharpe,1059,15.9,2.9,3.69,1.31,0.88,0.38,5.69,5.63,1.88,1.31,G
POR,Malcolm Brogdon,1121,15.7,5.5,3.08,0.72,0.69,0.21,5.23,5.1,2.1,3.57,G
POR,Jabari Walker,1700,8.9,1,4.96,2.1,0.58,0.31,5.14,1.93,0.57,1.08,F
GSW,Dario Saric,1098,8,2.3,3.28,1.14,0.48,0.16,3.06,3.08,1.16,1.85,F-C
GSW,Lester Quinones,394,4.4,1,1.38,0.57,0.16,0.05,1.08,2.38,0.86,2.12,G
GSW,Pat Spencer,26,0.7,0.8,0.33,0.33,0,0,0.67,0.33,0,5,G
GSW,Usman Garuba,18,0.5,0.2,0.67,0.5,0.17,0.5,0.33,0.17,0,0.5,F
GSW,Brandin Podziemski,1968,9.2,3.7,4.18,1.59,0.82,0.19,4.62,3.16,1.22,3.1,G
GSW,Klay Thompson,2284,17.9,2.3,2.84,0.45,0.65,0.45,3.09,8.99,3.48,1.5,G
GSW,Cory Joseph,296,2.4,1.6,0.92,0.23,0.15,0.12,0.54,1.62,0.5,3.5,G
GSW,Draymond Green,1490,8.6,6,5.85,1.38,1,0.85,4.69,2.35,0.93,2.46,F
GSW,Andrew Wiggins,1920,13.2,1.7,3,1.52,0.59,0.58,6.11,3.58,1.28,1.37,F
GSW,Trayce Jackson-Davis,1130,7.9,1.2,3.03,1.99,0.43,1.12,6.79,0.01,0,1.67,F
GSW,Stephen Curry,2421,26.4,5.1,3.96,0.5,0.73,0.38,5.86,11.84,4.82,1.8,G
GSW,Chris Paul,1531,9.2,6.8,3.57,0.31,1.21,0.1,1.97,3.62,1.34,5.17,G
GSW,Gary Payton II,680,5.5,1.1,1.52,1.05,0.89,0.41,3.77,1.25,0.45,1.78,G
GSW,Moses Moody,1156,8.1,0.9,1.98,0.98,0.64,0.36,3.33,3.03,1.09,1.3,G
GSW,Jonathan Kuminga,1949,16.1,2.2,3.55,1.24,0.74,0.49,10,2.23,0.72,1.34,F
GSW,Jerome Robinson,81,1.4,0.2,0.23,0.05,0.05,0.14,0.82,0.77,0.09,2.5,G
GSW,Kevon Looney,1195,4.5,1.8,3.73,1.93,0.38,0.39,3.59,0.01,0,2.66,C-F
GSW,Gui Santos,192,3.6,0.6,1.39,0.74,0.17,0.09,1.57,1.17,0.43,2,F
